date,Afghanistan,Angola,Albania,Argentina,Armenia,American Samoa,Azerbaijan,Burundi,Benin,Burkina Faso,Bangladesh,Bulgaria,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Bhutan,Botswana,Central African Republic,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Djibouti,Dominica,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Ethiopia,Fiji,"Micronesia, Fed. Sts.",Gabon,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Grenada,Guatemala,Guyana,Honduras,Haiti,Indonesia,India,"Iran, Islamic Rep.",Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Sri Lanka,Lesotho,Morocco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Nepal,Pakistan,Panama,Peru,Philippines,Papua New Guinea,"Korea, Dem. People's Rep.",Paraguay,West Bank and Gaza,Romania,Russian Federation,Rwanda,Sudan,Senegal,Solomon Islands,Sierra Leone,El Salvador,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Eswatini,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uzbekistan,St. Vincent and the Grenadines,Vietnam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,3036369312.4,67286794415.2,10859239096.8,253760056780.7,13093864395.5,,15811923784.2,625985283.6,5250479649.2,4494781776.5,67749043920.7,43347397245.2,14263489883.9,42491219492.3,1526004210.8,15421072053.6,549234311520.2,2868979841.7,1597427934.6,935630034.0,2349388621678.4,25072693104.0,13863899165.5,6137246433.1,5253134974.2,155171767040.5,301131309.5,2069786254.3,31287627814.7,,2678724034.8,328975990.2,44467742286.3,5178215526.0,56190547675.7,131579729752.3,788537429.3,30364411863.0,1518014488.9,,7615875628.1,20088956454.8,31323084616.8,4175376873.8,775654200.1,805942506.0,,658742963.7,25136104794.9,1506687262.6,11016615220.9,2317684493.9,417531650069.7,564179014212.4,5451188395.8,,18034588389.0,38016104454.3,162974379888.5,38193646113.7,8697096132.6,17562061636.9,,17164137036.5,68865417339.4,1480598762.4,,733837563.5,56341952149.6,1052218388.9,65682954942.0,8475902591.1,4873178319.3,3351712547.7,467511920765.7,,10606666542.8,6081077523.8,13348140041.1,9722712647.4,33236211399.4,20932324154.5,5710104834.5,18527475048.5,2943281966.5,,,4590696470.5,70570530052.8,12050448081.6,7904918393.1,116505539223.7,108866240274.6,73549205266.8,98479781366.5,17970999839.4,,19763367609.1,,142389651029.0,475518171675.9,8193366972.4,22953534423.5,17238618348.8,428927088.9,2113502029.6,18333708634.2,4659652464.5,38467088092.0,,291188749.4,,766084561.1,4763248268.9,3654297383.4,2546422966.7,204146618941.7,6797818017.2,5636041535.6,231800534.6,194304203.1,41038099975.2,435889447921.0,,25537812220.1,17206774508.8,129899079724.5,32174405287.0,406295764.5,125045334156.1,455667428.4,437296399.1,3108497520.3,7120836024.2,170766641061.2,30045885685.3,12740664732.3
2019-01-01,2661685956.5,64446155980.0,9556855648.5,281723792002.3,11884488146.3,,15840362634.9,593889381.1,3877755764.1,3686905203.1,57094167969.9,40501402414.8,13231145802.7,40734118642.4,1377529086.7,14301150537.3,568645874141.1,2703804731.6,1565096393.6,887586414.7,2114162881662.2,19816398560.3,12849396624.9,5617843790.1,5379079715.6,138625436538.7,265687364.9,1821219111.3,29800758229.0,,2552579803.4,282940980.0,38396262855.1,5492302707.3,51883469835.5,115079584155.5,771710773.6,28374718501.4,1344060627.0,,7198927676.3,18756971467.1,26738836501.5,2999682895.1,712541774.6,611218114.4,,525667644.2,25034633158.6,1530459137.7,9744777319.6,2213887988.5,402106449108.8,560870595482.5,4855393068.1,,18576584889.2,33481611279.1,158958005233.4,34941393887.9,8448338537.4,15329443357.1,,16701083150.5,73893126216.7,1296390617.4,,638927013.2,56117855647.0,935870653.0,55058242774.4,7523711270.2,4065354125.4,2679184642.9,472378122351.2,,8986250457.8,5104405564.7,11119585996.1,8339382593.6,31649904769.5,20110335952.6,5369750057.0,18162452892.7,2428679899.0,,,3608754288.0,60047046402.0,11680507308.1,6513481342.0,107900777493.9,107415987705.1,64247279473.4,83617256190.1,18744676569.0,,16387629382.3,,118298177700.6,484240497644.5,6514940151.8,22264288832.6,15138559758.4,350464708.8,1853041456.8,17379449891.6,5621339497.2,32560157793.4,,251643225.5,,630306421.4,4590239653.7,3313206994.2,2010066450.4,179772659996.2,6642228623.6,6515849191.5,203400669.6,186483847.2,39380531674.7,440772959820.6,,24163852053.3,13971124695.9,123921285219.8,22406619847.6,351677245.0,117337158772.7,441265525.7,408555300.1,2428181897.8,7055218065.7,185357003620.1,27726254062.8,12244515423.5
2018-01-01,2678760424.2,63217528196.5,9875849866.7,277827278079.2,10725730268.9,,16211029569.5,584975019.0,3585946329.5,3317745777.5,52138401714.0,40103457338.4,13253889164.0,38767563257.0,1348898447.4,13248377783.1,557742529191.2,2551977085.0,1782037130.2,824970472.8,1961528186354.2,16184569403.8,10925807437.9,4955691893.5,5220894528.0,132964924337.9,244985939.8,1767451777.7,28369279758.1,,2321379194.7,283303809.0,33564082651.9,5710413690.0,44943859423.5,100186063063.6,791199901.6,27842380882.8,1245387658.2,,6811278682.7,17326170640.8,23173792492.1,2589224549.6,687760236.9,520702423.3,,554451757.1,24274930210.1,1607000663.7,9167107328.2,2219747746.5,379588979497.0,521030395277.3,5773699803.6,,18380699500.9,31925236670.2,156979029654.8,31413700215.2,8157842611.7,13532957757.7,,15377362122.2,79650131632.7,1163396935.0,,615495530.0,52919692662.2,903648840.9,50430740344.6,7440416232.0,3730156549.6,2339711918.2,455828098481.7,,8666432372.7,4631345661.7,10684513512.0,8027011402.5,29788573487.9,18678707681.4,5225505427.4,16112456258.7,2265713574.3,,,3197189023.4,54202577784.6,11678842287.9,5510938186.4,99238383002.9,100310977753.7,66769271405.5,78960680575.5,17723605372.7,,15799216059.4,,112546911481.6,471884966126.2,5681082350.9,21529048699.8,12681119863.8,323533174.2,1754673893.2,16724734483.9,5558434812.7,31471262854.9,,252602291.4,,511324121.1,4583582193.9,3242639042.8,1719584007.8,172494315942.3,6088752240.8,8159810791.6,158056457.0,186833553.1,35032565217.9,445973315161.3,,22351529524.4,12315104975.9,121090690591.9,17735675248.4,323345869.9,106854495774.0,402236822.4,427480190.6,2325736286.3,7036509959.0,174094000763.8,23526271048.8,12620123760.0
2017-01-01,2751986638.9,59175902494.2,9801454504.1,225925335186.1,10228295738.5,,15300924031.7,606820362.7,2794440257.3,3166766915.9,46819123464.6,40989144703.6,13028529320.1,39584221158.1,1338924309.2,12990057752.2,543000326110.9,2607949876.9,1741386786.6,762760558.8,1704516192888.5,13449134231.4,10073207229.5,5083895441.8,5513707790.3,125769055081.7,186606215.0,1789970312.7,25615909360.8,,2266964232.8,299719824.9,31155812951.6,5706735537.1,41158716635.5,84722482199.7,820766657.9,26169980394.7,1267715373.7,,6499313033.2,16423920739.6,22212841567.6,2388386753.8,660865799.8,425024471.9,,561492097.2,23264893723.8,1582078487.6,8741578894.1,2169815133.3,353563845559.2,511472593373.6,6819093933.4,,14808025916.3,30051460368.7,158948966204.6,26929600433.7,8124567543.7,11425279074.2,,14696314072.6,74165438618.9,1122234392.0,,621896095.4,50765545978.7,935953109.2,51023139825.8,6968633842.8,3382076962.2,1515722991.1,444152603804.9,,8544276017.3,4278552577.1,10759099311.3,7218787356.9,27963178992.6,15821707638.5,5241041040.5,15847138721.3,2162398106.2,,,3055084477.3,45780013169.8,11521270259.4,4963402939.1,91660862633.8,93148803468.4,67603581696.8,73098382247.4,17223736382.3,,15928953800.4,,114007964316.1,514279537324.6,5076087515.8,21700605589.6,9820214448.9,376730656.2,1751064531.0,17179362768.2,2833531570.2,31453934635.8,,269476888.6,,653829149.2,4603897926.4,3123892175.3,1645785103.5,161647488029.7,5621789478.9,8650279590.8,124522399.4,193072348.9,33500794816.7,456562176683.8,,21418368689.0,11672672164.1,122699641467.7,16692298325.1,335439396.4,104089991174.7,401420199.8,443075541.6,2504230894.7,7193099657.9,174920789745.5,22954319549.1,12510355251.4
2016-01-01,2596050086.4,57827339857.2,8516222980.3,181638508190.7,9855623087.1,,14590007638.9,602774776.7,2258065494.5,2863797381.9,38480571897.7,39994027753.1,11630871769.5,37515947697.5,1290298702.5,10994252972.4,543257228545.3,2289670352.4,2126448971.8,735399666.2,1413804345434.8,11457186653.5,7890233642.2,5021565632.4,4874543671.1,120658527944.8,179966571.8,1551733555.5,25562670955.2,,1702240895.4,300168362.9,28291425524.5,5462929063.8,35378111194.4,69163941956.8,797254598.7,23396100284.1,1297960843.0,,5336059263.7,16320114022.1,21058602291.6,2217811578.8,527088062.0,323345883.3,,622125784.3,21129829604.4,1643860201.4,7614296900.4,2167818423.0,318942066410.3,455502090498.9,6058410415.5,,14127210394.7,27110465347.6,163488458648.4,21037318124.0,7972109924.2,10059535399.9,,13535138628.7,69509159841.8,952648609.9,,543662556.6,46661458616.2,921472674.5,47614177158.1,6222242082.0,2975696861.1,1221999437.3,424268116300.0,,7512963879.5,3781657117.9,10106905264.5,6220223867.3,24612081479.1,14205408236.9,5080228847.5,10464134314.2,1847005075.2,,,2529185628.5,35717779488.9,11035455282.7,4297388214.0,75039343005.0,89440297342.6,69612783913.7,74742411561.0,19247283289.3,,16227686956.1,,96117936188.0,529275173047.3,4318716827.6,21091694446.6,7534426005.9,263838572.3,1627108061.8,16566778003.6,2744666127.8,28326797867.7,,248286227.4,,499435854.2,4367932030.6,2867303800.8,1216414987.6,139220295850.1,5181124718.8,8167364609.0,80907571.1,174411669.5,28827327849.4,409420947718.7,,19435911410.7,10086179673.2,115004114303.7,15493632387.7,333532529.1,85664366987.2,293420900.7,417456880.5,2124776279.7,7062871730.7,143967019621.2,15220653707.0,11464935181.2
2015-01-01,2596917266.2,49254143994.6,8447046910.5,177184603465.6,8831021220.8,,13318815776.7,625980607.8,2170779292.4,2675691899.4,35966557144.2,40378595624.5,11614129610.0,38257921211.1,1279832151.2,9895204080.3,543397356309.8,2011104022.8,2236640614.3,730294678.5,1333777000685.1,11387731266.8,7304904667.0,5327954207.4,4994179149.9,113363407932.3,130562671.9,1550185095.0,23588779506.4,,1227496569.6,317214934.8,26727445939.7,4671321212.4,28401606811.0,49846045120.1,873287801.3,20443253424.1,1232759435.0,,5119456818.5,14874617981.4,20073270363.8,2036847915.1,534740811.3,340621587.8,,601161099.1,20378217942.1,1636917068.0,7626993493.8,2096138364.2,307749361569.2,478825585025.1,6455859301.0,,14134200975.2,25598481274.6,153179602966.4,19761669155.3,7720317460.6,9436048397.9,,11641678829.7,68219052512.0,839147458.6,,529980934.5,43925393891.1,921428686.1,44375744031.5,6094646557.5,3006714077.1,1006244803.1,426913933055.6,,6766734551.0,3683855295.8,10292778155.4,6272671727.0,21953024493.9,14102008575.3,4993494071.2,10325026110.9,1721202630.8,,,2232053189.7,32413453871.7,10538153717.4,4142916401.3,68599322739.1,88501170628.5,67186181291.8,76260795488.2,20386681359.9,,16362224792.4,,96449761850.7,485704137727.2,3451961693.0,21401429540.5,6800442377.0,207462428.9,1558279901.7,15570377313.2,2770590306.7,30260552576.6,,241714644.5,,382102519.9,4419183536.1,2806023684.0,1097348789.7,132186050433.0,5144065083.4,7003746694.1,116733681.1,184338819.8,27487161065.7,399948917893.1,,18144771370.9,9570705817.9,117455373266.3,13444649270.5,343937309.5,77831785088.8,256793136.3,437424621.0,2158469237.4,7298886699.6,124736936326.3,11778536162.6,9645408948.2
2014-01-01,2529865267.8,46456046425.5,8512452310.0,153793761987.6,8555656187.0,,12097565023.7,690167126.4,2041600834.0,2604724832.9,32665575354.7,47074927807.1,13082372491.1,40013829087.7,1286357300.3,8884014490.4,556919631071.7,1841155641.3,2499532552.1,661591243.0,1778390716290.5,9805804583.5,5765541169.1,5481886984.1,4868610263.9,104603270439.7,141753606.4,1550676370.5,19722088699.2,,943103980.6,308231897.2,26269413480.3,5521103961.6,24992726036.7,41741489490.1,906782925.5,16944825499.2,1291245045.4,,4657695158.9,14157391179.6,17836622446.7,1838321585.2,524210916.7,291335396.1,,637672103.3,19511836131.6,2341948615.5,7369414615.7,1951930399.9,292565196460.3,457507409077.4,5817911004.0,,14142165820.6,24125234088.8,157697564867.8,16888188081.7,7286979592.8,8318518444.1,,9640196172.3,64454510032.8,681478405.0,,537109187.7,42262761571.6,890476478.4,43120469209.4,5851136268.3,2962333032.1,1104553870.6,442425894708.7,,7232874195.1,3443512869.3,10243561350.0,6620393969.5,21200471937.3,13288301758.2,4531578245.3,12780768880.5,1666540756.6,,,2005427470.0,28628765477.5,10125541288.8,3980972649.0,64184147243.4,78034041164.2,67907395747.3,77161512901.7,20428666793.2,,16467482773.0,,111824344879.6,553102745561.2,2909860018.3,21773895615.6,6630427579.2,187516688.3,1433234602.8,15168975769.4,2837118511.5,32114239790.2,,227700644.6,,414081524.5,4608449443.0,3724335781.1,1022442328.5,146033719707.9,5123647136.5,7360924924.0,104305452.7,195924377.2,26936706203.8,406061717252.3,,16217769213.4,8651413817.8,126816910096.1,12108872380.0,340847124.2,72453401721.1,203273624.2,450183948.9,2242255049.7,7723142216.8,142430471183.2,9191819836.5,8356267492.5
2013-01-01,2587774889.5,44072816708.6,8647043653.8,150225029637.6,8681090933.1,,10573141206.6,683609365.0,1998529555.7,2638142915.9,31507130279.7,51652241448.4,13780023315.1,39573470267.5,1248681044.2,8141786946.8,483765362833.9,1528150602.3,2388280380.5,597605441.3,1480489123608.3,9855282186.8,5177990626.2,6132474131.8,4281838348.9,92639778394.9,147531331.2,1492658762.2,17134573111.0,,820599933.4,309862673.4,23957824116.7,5245600941.0,19080452491.3,46501579104.5,943357521.7,12584252082.9,1284885600.6,,4834619861.8,13603272482.6,16115213470.2,1674860052.0,551453731.0,279035224.2,,586831029.3,17484024518.8,2302019600.8,6867621206.6,1569393195.2,263643564688.9,427245080644.8,7013040853.2,,12950945321.6,23003167470.8,149707828668.6,13750968310.3,6815112968.3,7619373556.1,,8190446369.0,62103209375.0,530778316.3,,479336061.9,39314573733.0,902056102.8,39283987902.0,6204086709.3,2939311490.7,1030147385.5,406238589780.5,,6736820574.2,3430357747.8,10199558986.4,7196554629.9,19186554569.8,12769571660.5,4522469174.2,12417327884.6,1566325146.5,,,1983411850.3,24482376278.8,9685155852.8,4012913595.5,60064355293.4,68348318188.6,63547801599.7,66192652609.9,21609688499.3,,15697471915.7,,123953721302.1,668513129019.5,2314566336.6,22500007302.4,6355610335.9,203970834.5,1399721061.2,14131937575.5,2938897190.3,35636907715.7,,216430128.5,,452281408.3,4765861035.7,2910547099.0,925609595.3,151652727277.6,4862292910.8,8278943945.6,89494700.4,199563005.4,25762511561.7,390350027972.1,,13983646684.8,8559917407.2,146636254044.8,10273587346.5,311721425.8,65483934093.5,158471649.6,447232337.9,2220795158.7,7688886486.7,141545745464.3,6292315917.2,8415958848.3
2012-01-01,2580631877.8,36856294099.9,7384500626.6,139877660191.7,7640566738.7,,10826841366.0,667315097.4,1673186228.3,2588639401.6,28282400905.3,51428609097.2,12998247050.4,33755737465.2,1196360888.6,6617099971.6,440515187632.7,1449649049.9,2526374996.0,577189130.3,1148178860069.5,9543211323.6,3887910776.5,5615753343.6,3695823283.7,79246354929.0,252330024.2,1248581306.6,14310369555.7,,802430582.8,304779240.8,22101553440.9,5515687723.5,16249104507.3,40028196098.1,990937207.5,10463932699.2,1270343618.1,,3253510718.2,12624714164.4,11992686632.0,1335518791.6,541820520.3,278030081.1,,589257177.2,15367094556.4,1974229280.9,5086125313.5,1163440488.7,252622872897.3,392576047064.3,7481952279.1,,14308795713.6,18298331768.0,135531190779.5,11808007308.1,6035847044.9,6749331006.3,,7422652822.1,55722810007.5,487153109.0,,432707431.4,35735941876.0,877145936.2,33878312900.9,5320131158.1,2993481414.4,942036987.1,349275996310.6,,6469415528.3,3049630914.4,11301801869.5,6175932507.5,15567563612.6,7135928646.4,4277706212.4,10710601185.4,1331154479.4,,,1784589579.3,21466867764.2,8904175149.7,3809944151.4,63644665492.1,61429104400.4,61628879000.2,69363640826.3,14922491219.9,,16046077317.9,,120825838959.4,591836363719.5,1814534884.7,21822049522.0,5974957434.4,228147130.5,1335289493.1,13548206208.8,2940491562.0,34361116041.7,,203498251.7,,485253652.4,4748532173.1,2346579692.1,749452534.6,148243531120.8,4619372232.1,6547850842.2,76035317.8,197996953.7,25399767555.7,338827276892.9,,12039158209.5,3776142287.5,133747127021.6,8574558505.7,288060587.8,61612717255.9,182211942.0,422904446.2,2002395891.2,7586177348.9,147887766422.9,5721666853.1,8886963329.0
2011-01-01,2485331046.1,34370523283.4,6484194296.1,142884643038.3,7410792665.3,,7687663765.8,604409004.8,1864410779.1,2340756088.6,27046084648.2,47739502725.5,12345114956.9,33932546340.5,1274688747.1,6181999152.8,404046105342.1,1070492249.6,2395188968.7,571183516.3,1054226064017.3,12791036139.9,3094521348.4,5473720855.3,3240730363.3,76162726605.4,275725988.2,1041231867.4,10271452441.9,,769520335.7,280448697.4,15097329632.2,6053727067.1,16167801266.2,35175105537.6,1050966567.3,8606311904.7,1355509517.9,,3196111717.5,10817606103.3,10411713579.5,3204289165.5,506226594.0,279738302.5,,532309611.8,16281345423.5,2006674225.0,4419294950.2,775845587.7,219629383247.4,334399298473.1,17260291984.0,,14331877940.2,17477930466.6,124330240756.0,10019616788.0,5493240304.9,4655287804.0,,7081958070.9,49664375022.5,448440322.7,,455833314.8,25795379781.1,813623741.4,29967987911.7,5216932920.4,2867388363.7,881963777.1,291784441992.3,,6131371643.2,2911734915.1,11107356006.6,5524651521.6,9629415055.9,6255147201.3,3742969896.7,9968039931.9,1213551485.4,,,2213013664.6,21003387146.0,7938152810.7,3826237147.3,64717183245.6,57055801275.2,45012107240.1,66105955899.3,12584089527.7,,15580878833.8,,119601149373.9,544355500577.8,1460707197.2,21180844800.1,5368568099.5,257503829.4,1050427525.8,12729163388.5,2940364939.5,31657124951.8,,229714903.5,,628847981.8,4980444783.4,2331368590.1,624820833.4,115440130154.4,3922103878.3,4296648711.5,,191201692.9,22836117770.0,305569521865.7,,10164414029.9,3262582093.9,137133975946.7,8211750652.4,304058669.5,53925029239.1,178444531.3,368308475.7,1699829128.6,6429107186.2,119067999273.4,4968061660.0,7392832734.2
